time_period,time_identifier,geographic_level,country_code,country_name,version,characteristic_group,characteristic,school_type,gender,no_schools,t_rwm_eligible_pupils,t_rwm_met_expected_standard,t_rwm_met_higher_standard,t_read_eligible_pupils,t_read_met_expected_standard,t_read_met_higher_standard,t_read_not_achieved_expected_standard,t_read_working_below_assessment,t_read_absent,t_read_unable_to_access_or_just_arrived,t_read_unable_to_access,t_read_avg_scaled_score_eligible_pupils,t_read_sum_scaled_scores,t_read_progress_eligible_pupils,t_read_progress_score,t_gps_eligible_pupils,t_gps_met_expected_standard,t_gps_met_higher_standard,t_gps_not_achieved_expected_standard,t_gps_working_below_assessment,t_gps_absent,t_gps_unable_to_access_or_just_arrived,t_gps_unable_to_access,t_gps_avg_scaled_score_eligible_pupils,t_gps_sum_scaled_scores,t_mat_eligible_pupils,t_mat_met_expected_standard,t_mat_met_higher_standard,t_mat_not_achieved_expected_standard,t_mat_working_below_assessment,t_mat_absent,t_mat_unable_to_access_or_just_arrived,t_mat_unable_to_access,t_mat_avg_scaled_score_eligible_pupils,t_mat_sum_scaled_scores,t_mat_progress_eligible_pupils,t_mat_progress_score,t_writta_eligible_pupils,t_writta_met_expected_standard,t_writta_met_higher_standard,t_writta_working_towards_expected_standard,t_writta_pre_key_stage_standard_6,t_writta_pre_key_stage_standard_5,t_writta_pre_key_stage_standard_4,t_writta_pre_key_stage_standard_3,t_writta_pre_key_stage_standard_2,t_writta_pre_key_stage_standard_1,t_writta_growing_development_of_expected_standard,t_writta_early_development_of_expected_standard,t_writta_foundations_of_expected_standard,t_writta_engagement_model_or_below_pre_key_stage_standards,t_writta_below_interim_pre_key_stage_standards,t_writta_absent,t_writta_disapplied,t_writta_progress_eligible_pupils,t_writta_progress_score,t_scita_eligible_pupils,t_scita_met_expected_standard,t_scita_not_met_expected_standard,t_scita_absent,t_scita_disapplied,pt_rwm_met_expected_standard,pt_rwm_met_higher_standard,pt_read_met_expected_standard,pt_read_met_higher_standard,pt_read_not_achieved_expected_standard,pt_read_working_below_assessment,pt_read_absent,pt_read_unable_to_access_or_just_arrived,pt_read_unable_to_access,avg_read_scaled_score,avg_read_progress_score,avg_read_progress_score_upper_ci,avg_read_progress_score_lower_ci,pt_gps_met_expected_standard,pt_gps_met_higher_standard,pt_gps_not_achieved_expected_standard,pt_gps_working_below_assessment,pt_gps_absent,pt_gps_unable_to_access_or_just_arrived,pt_gps_unable_to_access,avg_gps_scaled_score,pt_mat_met_expected_standard,pt_mat_met_higher_standard,pt_mat_not_achieved_expected_standard,pt_mat_working_below_assessment,pt_mat_absent,pt_mat_unable_to_access_or_just_arrived,pt_mat_unable_to_access,avg_mat_scaled_score,avg_mat_progress_score,avg_mat_progress_score_upper_ci,avg_mat_progress_score_lower_ci,pt_writta_met_expected_standard,pt_writta_met_higher_standard,pt_writta_working_towards_expected_standard,pt_writta_pre_key_stage_standard_6,pt_writta_pre_key_stage_standard_5,pt_writta_pre_key_stage_standard_4,pt_writta_pre_key_stage_standard_3,pt_writta_pre_key_stage_standard_2,pt_writta_pre_key_stage_standard_1,pt_writta_growing_development_of_expected_standard,pt_writta_early_development_of_expected_standard,pt_writta_foundations_of_expected_standard,pt_writta_engagement_model_or_below_pre_key_stage_standards,pt_writta_below_interim_pre_key_stage_standards,pt_writta_absent,pt_writta_disapplied,avg_writta_progress_score,avg_writta_progress_score_upper_ci,avg_writta_progress_score_lower_ci,pt_scita_met_expected_standard,pt_scita_not_met_expected_standard,pt_scita_absent,pt_scita_disapplied
201516,Academic year,National,E92000001,England,Final,Ethnic major,Any other ethnic group,State-funded schools,Girls,2595,5064,2741,266,5077,3130,781,1687,248,7,z,2,4792,487849,z,z,5077,3903,1436,921,242,7,z,2,4823,508134,5077,3694,906,1161,212,6,z,2,4854,503266,z,z,5064,3884,809,806,z,z,z,z,z,z,190,60,42,z,37,8,37,z,z,5064,4001,1022,7,34,54,5,62,15,33,5,0,z,0,102,z,z,z,77,28,18,5,0,z,0,105,73,18,23,4,0,z,0,104,z,z,z,77,16,16,z,z,z,z,z,z,4,1,1,z,1,0,1,z,z,z,79,20,0,1
201516,Academic year,National,E92000001,England,Final,Ethnic major,Any other ethnic group,State-funded schools,Total,3894,10285,5153,475,10316,5967,1373,3705,618,15,z,7,9607,971501,z,z,10316,7436,2604,2257,599,13,z,8,9692,1013022,10315,7510,2036,2264,519,13,z,6,9772,1016378,z,z,10285,7311,1351,1985,z,z,z,z,z,z,478,183,112,z,106,20,90,z,z,10285,7893,2287,19,86,50,5,58,13,36,6,0,z,0,101,z,z,z,72,25,22,6,0,z,0,105,73,20,22,5,0,z,0,104,z,z,z,71,13,19,z,z,z,z,z,z,5,2,1,z,1,0,1,z,z,z,77,22,0,1
201516,Academic year,National,E92000001,England,Final,Ethnic major,Asian,State-funded schools,Boys,6232,32811,17088,1850,32830,19623,4616,11748,1365,36,z,18,31200,3161511,z,z,32829,24512,8606,6885,1334,39,z,17,31396,3290897,32830,24697,8563,6784,1251,42,z,16,31474,3301779,z,z,32811,23705,4003,6614,z,z,z,z,z,z,1274,402,215,z,451,35,115,z,z,32812,25856,6803,38,115,52,6,60,14,36,4,0,z,0,101,z,z,z,75,26,21,4,0,z,0,105,75,26,21,4,0,z,0,105,z,z,z,72,12,20,z,z,z,z,z,z,4,1,1,z,1,0,0,z,z,z,79,21,0,0
201516,Academic year,National,E92000001,England,Final,Ethnic major,Asian,State-funded schools,Girls,6181,31382,18713,2467,31412,21129,5890,9423,772,21,z,8,30468,3132201,z,z,31411,26192,11156,4379,752,22,z,5,30570,3261748,31411,23698,7035,6890,730,27,z,7,30582,3189401,z,z,31382,26099,6466,3975,z,z,z,z,z,z,635,163,118,z,257,43,92,z,z,31385,26237,5010,44,94,60,8,67,19,30,2,0,z,0,103,z,z,z,83,36,14,2,0,z,0,107,75,22,22,2,0,z,0,104,z,z,z,83,21,13,z,z,z,z,z,z,2,1,0,z,1,0,0,z,z,z,84,16,0,0
201516,Academic year,National,E92000001,England,Final,Ethnic major,Asian,State-funded schools,Total,7898,64193,35801,4317,64242,40752,10506,21171,2137,57,z,26,61668,6293712,z,z,64240,50704,19762,11264,2086,61,z,22,61966,6552645,64241,48395,15598,13674,1981,69,z,23,62056,6491180,z,z,64193,49804,10469,10589,z,z,z,z,z,z,1909,565,333,z,708,78,207,z,z,64197,52093,11813,82,209,56,7,63,16,33,3,0,z,0,102,z,z,z,79,31,18,3,0,z,0,106,75,24,21,3,0,z,0,105,z,z,z,78,16,16,z,z,z,z,z,z,3,1,1,z,1,0,0,z,z,z,81,18,0,0
201516,Academic year,National,E92000001,England,Final,Ethnic major,Black,State-funded schools,Boys,4583,17410,8167,586,17430,10054,1922,6502,843,18,z,5,16430,1655680,z,z,17430,12239,3497,4337,820,22,z,3,16572,1717149,17430,11733,2570,4869,798,21,z,1,16591,1703209,z,z,17411,12045,1813,3820,z,z,z,z,z,z,768,259,169,z,288,12,50,z,z,17412,13232,4105,12,63,47,3,58,11,37,5,0,z,0,101,z,z,z,70,20,25,5,0,z,0,104,67,15,28,5,0,z,0,103,z,z,z,69,10,22,z,z,z,z,z,z,4,1,1,z,2,0,0,z,z,z,76,24,0,0
201516,Academic year,National,E92000001,England,Final,Ethnic major,Black,State-funded schools,Girls,4468,16956,9309,828,16975,11273,2624,5250,427,12,z,4,16468,1684372,z,z,16974,13607,4680,2926,416,12,z,4,16530,1742335,16975,11800,2214,4740,409,13,z,4,16537,1696857,z,z,16956,13856,2999,2368,z,z,z,z,z,z,380,133,62,z,113,8,36,z,z,16955,13998,2907,10,40,55,5,66,15,31,3,0,z,0,102,z,z,z,80,28,17,2,0,z,0,105,70,13,28,2,0,z,0,103,z,z,z,82,18,14,z,z,z,z,z,z,2,1,0,z,1,0,0,z,z,z,83,17,0,0
201516,Academic year,National,E92000001,England,Final,Ethnic major,Black,State-funded schools,Total,5840,34366,17476,1414,34405,21327,4546,11752,1270,30,z,9,32898,3340052,z,z,34404,25846,8177,7263,1236,34,z,7,33102,3459484,34405,23533,4784,9609,1207,34,z,5,33128,3400066,z,z,34367,25901,4812,6188,z,z,z,z,z,z,1148,392,231,z,401,20,86,z,z,34367,27230,7012,22,103,51,4,62,13,34,4,0,z,0,102,z,z,z,75,24,21,4,0,z,0,105,68,14,28,4,0,z,0,103,z,z,z,75,14,18,z,z,z,z,z,z,3,1,1,z,1,0,0,z,z,z,79,20,0,0
201516,Academic year,National,E92000001,England,Final,Ethnic major,Mixed,State-funded schools,Boys,7538,15540,7974,838,15565,9931,2680,5002,585,30,z,13,14842,1517483,z,z,15563,10891,3232,4064,557,31,z,13,14952,1548781,15565,10893,2939,4079,538,40,z,11,14967,1546873,z,z,15540,10818,1891,3444,z,z,z,z,z,z,708,238,136,z,152,14,30,z,z,15541,12298,3189,17,37,51,5,64,17,32,4,0,z,0,102,z,z,z,70,21,26,4,0,z,0,104,70,19,26,3,0,z,0,103,z,z,z,70,12,22,z,z,z,z,z,z,5,2,1,z,1,0,0,z,z,z,79,21,0,0
201516,Academic year,National,E92000001,England,Final,Ethnic major,Mixed,State-funded schools,Girls,7321,15002,9026,1156,15014,11021,3669,3675,295,19,z,3,14654,1526098,z,z,15013,12074,4493,2634,283,16,z,2,14708,1553636,15013,10650,2430,4046,291,21,z,3,14696,1513072,z,z,15002,12407,3136,2031,z,z,z,z,z,z,316,93,57,z,76,7,15,z,z,15001,12594,2382,10,15,60,8,73,24,24,2,0,z,0,104,z,z,z,80,30,18,2,0,z,0,106,71,16,27,2,0,z,0,103,z,z,z,83,21,14,z,z,z,z,z,z,2,1,0,z,1,0,0,z,z,z,84,16,0,0
201516,Academic year,National,E92000001,England,Final,Ethnic major,Mixed,State-funded schools,Total,9975,30542,17000,1994,30579,20952,6349,8677,880,49,z,16,29496,3043581,z,z,30576,22965,7725,6698,840,47,z,15,29660,3102417,30578,21543,5369,8125,829,61,z,14,29663,3059945,z,z,30542,23225,5027,5475,z,z,z,z,z,z,1024,331,193,z,228,21,45,z,z,30542,24892,5571,27,52,56,7,69,21,28,3,0,z,0,103,z,z,z,75,25,22,3,0,z,0,105,70,18,27,3,0,z,0,103,z,z,z,76,16,18,z,z,z,z,z,z,3,1,1,z,1,0,0,z,z,z,82,18,0,0
201516,Academic year,National,E92000001,England,Final,Ethnic major,Unclassified,State-funded schools,Boys,2026,2663,1049,95,2686,1391,370,852,410,9,z,24,2222,224795,z,z,2686,1498,431,750,405,11,z,22,2244,229564,2686,1570,405,722,354,15,z,25,2290,234779,z,z,2663,1442,200,663,z,z,z,z,z,z,193,88,65,z,74,59,79,z,z,2663,1722,797,63,81,39,4,52,14,32,15,0,z,1,101,z,z,z,56,16,28,15,0,z,1,102,58,15,27,13,1,z,1,103,z,z,z,54,8,25,z,z,z,z,z,z,7,3,2,z,3,2,3,z,z,z,65,30,2,3
201516,Academic year,National,E92000001,England,Final,Ethnic major,Unclassified,State-funded schools,Girls,1875,2393,1075,97,2404,1377,442,685,320,5,z,17,2041,209123,z,z,2404,1538,486,530,314,6,z,16,2068,214615,2404,1368,278,719,289,7,z,20,2087,212469,z,z,2393,1531,344,461,z,z,z,z,z,z,120,57,48,z,47,44,85,z,z,2393,1621,637,49,86,45,4,57,18,28,13,0,z,1,102,z,z,z,64,20,22,13,0,z,1,104,57,12,30,12,0,z,1,102,z,z,z,64,14,19,z,z,z,z,z,z,5,2,2,z,2,2,4,z,z,z,68,27,2,4
201516,Academic year,National,E92000001,England,Final,Ethnic major,Unclassified,State-funded schools,Total,3311,5056,2124,192,5090,2768,812,1537,730,14,z,41,4263,433918,z,z,5090,3036,917,1280,719,17,z,38,4312,444179,5090,2938,683,1441,643,22,z,45,4377,447248,z,z,5056,2973,544,1124,z,z,z,z,z,z,313,145,113,z,121,103,164,z,z,5056,3343,1434,112,167,42,4,54,16,30,14,0,z,1,102,z,z,z,60,18,25,14,0,z,1,103,58,13,28,13,0,z,1,102,z,z,z,59,11,22,z,z,z,z,z,z,6,3,2,z,2,2,3,z,z,z,66,28,2,3
201516,Academic year,National,E92000001,England,Final,Ethnic major,White,State-funded schools,Boys,15382,225330,111937,10221,225573,142042,37378,73866,8853,571,z,206,214294,21859730,z,z,225567,149378,38261,66915,8435,588,z,203,216256,22197649,225566,156600,38862,60103,7949,682,z,194,216647,22330173,z,z,225333,150965,23774,54291,z,z,z,z,z,z,10998,4075,2314,z,2026,230,434,z,z,225324,178433,46131,253,507,50,5,63,17,33,4,0,z,0,102,z,z,z,66,17,30,4,0,z,0,103,69,17,27,4,0,z,0,103,z,z,z,67,11,24,z,z,z,z,z,z,5,2,1,z,1,0,0,z,z,z,79,20,0,0
201516,Academic year,National,E92000001,England,Final,Ethnic major,White,State-funded schools,Girls,15199,215808,123162,12958,215973,152391,48536,58563,4492,389,z,97,210062,21752347,z,z,215973,165468,54236,45662,4288,400,z,92,211117,22096784,215967,148586,29718,62294,4481,467,z,99,210804,21618353,z,z,215812,173129,40222,33015,z,z,z,z,z,z,5536,1750,953,z,1015,124,290,z,z,215810,179530,35815,141,324,57,6,71,22,27,2,0,z,0,104,z,z,z,77,25,21,2,0,z,0,105,69,14,29,2,0,z,0,103,z,z,z,80,19,15,z,z,z,z,z,z,3,1,0,z,0,0,0,z,z,z,83,17,0,0
201516,Academic year,National,E92000001,England,Final,Ethnic major,White,State-funded schools,Total,15526,441138,235099,23179,441546,294433,85914,132429,13345,960,z,303,424356,43612077,z,z,441540,314846,92497,112577,12723,988,z,295,427373,44294433,441533,305186,68580,122397,12430,1149,z,293,427451,43948526,z,z,441145,324094,63996,87306,z,z,z,z,z,z,16534,5825,3267,z,3041,354,724,z,z,441134,357963,81946,394,831,53,5,67,19,30,3,0,z,0,103,z,z,z,71,21,25,3,0,z,0,104,69,16,28,3,0,z,0,103,z,z,z,73,15,20,z,z,z,z,z,z,4,1,1,z,1,0,0,z,z,z,81,19,0,0
201516,Academic year,National,E92000001,England,Final,Ethnic minor,Any other ethnic group,State-funded schools,Boys,2667,5221,2412,209,5239,2837,592,2018,370,8,z,5,4815,483652,z,z,5239,3533,1168,1336,357,6,z,6,4869,504888,5238,3816,1130,1103,307,7,z,4,4918,513112,z,z,5221,3427,542,1179,z,z,z,z,z,z,288,123,70,z,69,12,53,z,z,5221,3892,1265,12,52,46,4,54,11,39,7,0,z,0,100,z,z,z,67,22,26,7,0,z,0,104,73,22,21,6,0,z,0,104,z,z,z,66,10,23,z,z,z,z,z,z,6,2,1,z,1,0,1,z,z,z,75,24,0,1
201516,Academic year,National,E92000001,England,Final,Ethnic minor,Any other ethnic group,State-funded schools,Girls,2595,5064,2741,266,5077,3130,781,1687,248,7,z,2,4792,487849,z,z,5077,3903,1436,921,242,7,z,2,4823,508134,5077,3694,906,1161,212,6,z,2,4854,503266,z,z,5064,3884,809,806,z,z,z,z,z,z,190,60,42,z,37,8,37,z,z,5064,4001,1022,7,34,54,5,62,15,33,5,0,z,0,102,z,z,z,77,28,18,5,0,z,0,105,73,18,23,4,0,z,0,104,z,z,z,77,16,16,z,z,z,z,z,z,4,1,1,z,1,0,1,z,z,z,79,20,0,1
201516,Academic year,National,E92000001,England,Final,Ethnic minor,Any other ethnic group,State-funded schools,Total,3894,10285,5153,475,10316,5967,1373,3705,618,15,z,7,9607,971501,z,z,10316,7436,2604,2257,599,13,z,8,9692,1013022,10315,7510,2036,2264,519,13,z,6,9772,1016378,z,z,10285,7311,1351,1985,z,z,z,z,z,z,478,183,112,z,106,20,90,z,z,10285,7893,2287,19,86,50,5,58,13,36,6,0,z,0,101,z,z,z,72,25,22,6,0,z,0,105,73,20,22,5,0,z,0,104,z,z,z,71,13,19,z,z,z,z,z,z,5,2,1,z,1,0,1,z,z,z,77,22,0,1
201516,Academic year,National,E92000001,England,Final,Ethnic minor,Asian - Any other Asian background,State-funded schools,Boys,2717,5095,2944,397,5102,3279,912,1596,221,5,z,1,4847,495835,z,z,5102,4019,1646,863,211,6,z,2,4882,516855,5102,4157,1726,757,180,6,z,2,4914,522925,z,z,5095,3791,781,922,z,z,z,z,z,z,197,63,36,z,61,2,23,z,z,5095,4188,881,6,20,58,8,64,18,31,4,0,z,0,102,z,z,z,79,32,17,4,0,z,0,106,81,34,15,4,0,z,0,106,z,z,z,74,15,18,z,z,z,z,z,z,4,1,1,z,1,0,0,z,z,z,82,17,0,0
201516,Academic year,National,E92000001,England,Final,Ethnic minor,Asian - Any other Asian background,State-funded schools,Girls,2630,4858,3107,476,4865,3414,1053,1313,133,1,z,4,4710,487825,z,z,4865,4139,2006,588,132,4,z,2,4727,508138,4865,3952,1447,798,111,2,z,2,4750,501879,z,z,4858,4050,1153,609,z,z,z,z,z,z,94,24,25,z,29,4,23,z,z,4858,4149,683,4,22,64,10,70,22,27,3,0,z,0,104,z,z,z,85,41,12,3,0,z,0,107,81,30,16,2,0,z,0,106,z,z,z,83,24,13,z,z,z,z,z,z,2,0,1,z,1,0,0,z,z,z,85,14,0,0
201516,Academic year,National,E92000001,England,Final,Ethnic minor,Asian - Any other Asian background,State-funded schools,Total,3968,9953,6051,873,9967,6693,1965,2909,354,6,z,5,9557,983660,z,z,9967,8158,3652,1451,343,10,z,4,9609,1024993,9967,8109,3173,1555,291,8,z,4,9664,1024804,z,z,9953,7841,1934,1531,z,z,z,z,z,z,291,87,61,z,90,6,46,z,z,9953,8337,1564,10,42,61,9,67,20,29,4,0,z,0,103,z,z,z,82,37,15,3,0,z,0,107,81,32,16,3,0,z,0,106,z,z,z,79,19,15,z,z,z,z,z,z,3,1,1,z,1,0,0,z,z,z,84,16,0,0
